"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2017-02-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","49","1","Good"
"2017-02-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2017-02-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","48","1","Good"
"2017-02-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2017-02-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2017-02-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2017-02-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","53","2","Moderate"
"2017-02-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2017-02-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","34","1","Good"
"2017-02-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","58","2","Moderate"
"2017-02-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","45","1","Good"
"2017-02-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2017-02-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2017-02-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-02-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","29","1","Good"
"2017-02-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2017-02-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","25","1","Good"
"2017-02-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2017-02-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","30","1","Good"
"2017-02-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2017-02-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","37","1","Good"
"2017-02-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2017-02-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","55","2","Moderate"
"2017-03-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2017-03-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","39","1","Good"
"2017-03-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-03-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","23","1","Good"
"2017-03-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2017-03-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2017-03-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-03-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2017-03-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-03-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2017-03-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
