"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-02-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","19","1","Good"
"2014-02-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2014-02-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","31","1","Good"
"2014-02-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-02-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2014-02-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","36","1","Good"
"2014-02-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2014-02-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-02-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","41","1","Good"
"2014-02-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","35","1","Good"
"2014-02-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","48","1","Good"
"2014-02-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-02-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","38","1","Good"
"2014-03-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-03-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","61","2","Moderate"
"2014-03-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2014-03-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","82","2","Moderate"
"2014-03-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2014-03-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","38","1","Good"
"2014-03-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2014-03-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","78","2","Moderate"
"2014-03-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2014-03-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","68","2","Moderate"
"2014-03-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2014-03-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2014-03-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2014-03-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
"2014-03-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2014-03-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","65","2","Moderate"
"2014-03-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-03-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
"2014-03-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-03-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2014-03-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","74","2","Moderate"
"2014-03-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2014-03-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2014-03-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","44","1","Good"
"2014-03-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","36","1","Good"
"2014-03-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","17","1","Good"
"2014-03-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2014-03-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2014-03-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-03-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","21","1","Good"
"2014-03-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2014-03-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2014-03-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2014-03-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2014-03-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2014-03-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","41","1","Good"
"2014-03-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-03-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","34","1","Good"
"2014-03-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2014-03-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2014-03-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2014-03-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","49","1","Good"
"2014-03-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-03-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","59","2","Moderate"
"2014-03-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-03-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","44","1","Good"
"2014-03-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2014-03-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2014-03-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2014-03-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","63","2","Moderate"
"2014-03-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2014-03-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","39","1","Good"
"2014-03-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2014-03-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","36","1","Good"
"2014-03-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-03-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","48","1","Good"
"2014-03-29 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","29","1","Good"
"2014-03-29 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-03-30 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-03-30 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","15","1","Good"
"2014-03-31 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-03-31 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","21","1","Good"
"2014-04-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","64","2","Moderate"
"2014-04-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","29","1","Good"
"2014-04-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","50","1","Good"
"2014-04-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","60","2","Moderate"
